fromNode	toNode	weight	direction	fromAltName	toAltName
Glyoxylic acid	Palmitoleic acid	0.447386346126981	undirected	Glyoxylic acid	Palmitoleic acid
Glyoxylic acid	5-Aminopentanoic acid	0.260240857541934	undirected	Glyoxylic acid	5-Aminopentanoic acid
Glyoxylic acid	Pyrimidine	0.0881481918468643	undirected	Glyoxylic acid	Pyrimidine
Glyoxylic acid	Diacetyl	0.0881481918468643	undirected	Glyoxylic acid	Diacetyl
Glyoxylic acid	D-Proline	0.0743586928106836	undirected	Glyoxylic acid	D-Proline
Glyoxylic acid	L-Histidinol	0.292603509904211	undirected	Glyoxylic acid	L-Histidinol
Glyoxylic acid	4-Guanidinobutanoic acid	0.463188217063073	undirected	Glyoxylic acid	4-Guanidinobutanoic acid
Glyoxylic acid	4-Acetamidobutanoic acid	0.453365839416559	undirected	Glyoxylic acid	4-Acetamidobutanoic acid
Glyoxylic acid	Phenylacetaldehyde	0.0648708487217059	undirected	Glyoxylic acid	Phenylacetaldehyde
Glyoxylic acid	MG(0:0/16:0/0:0)	0.36765853955077	undirected	Glyoxylic acid	MG(0:0/16:0/0:0)
Glyoxylic acid	3-Methyladenine	0.0881481918468643	undirected	Glyoxylic acid	3-Methyladenine
Glyoxylic acid	Phenylethylamine	0.0270451432185438	undirected	Glyoxylic acid	Phenylethylamine
Glyoxylic acid	Alpha-Linolenoyl ethanolamide	0.0881481918468643	undirected	Glyoxylic acid	Alpha-Linolenoyl ethanolamide
Glyoxylic acid	Palmitoleoylethanolamde	0.0970495030213067	undirected	Glyoxylic acid	Palmitoleoylethanolamde
Glyoxylic acid	Norvaline	0.0616435439269382	undirected	Glyoxylic acid	Norvaline
Glyoxylic acid	Diisobutyl phthalate	0.256234884925485	undirected	Glyoxylic acid	Diisobutyl phthalate
Glyoxylic acid	Prednisolone	0.0881481918468643	undirected	Glyoxylic acid	Prednisolone
Glyoxylic acid	Indole-3-carboxaldehyde	0.0312104268496085	undirected	Glyoxylic acid	Indole-3-carboxaldehyde
Glyoxylic acid	Methyl nicotinate	0.063889492681236	undirected	Glyoxylic acid	Methyl nicotinate
Glyoxylic acid	(E)-Piperolein A	0.238555262272526	undirected	Glyoxylic acid	(E)-Piperolein A
Glyoxylic acid	(S)-2-Propylpiperidine	0.461223335347345	undirected	Glyoxylic acid	(S)-2-Propylpiperidine
Glyoxylic acid	2-Ethoxyethanol	0.10280022061411	undirected	Glyoxylic acid	2-Ethoxyethanol
Glyoxylic acid	Cyclamic acid	0.060061597466209	undirected	Glyoxylic acid	Cyclamic acid
Glyoxylic acid	Pyrrolidine	0.137244080032517	undirected	Glyoxylic acid	Pyrrolidine
Glyoxylic acid	Jasmonic acid	0.0212128494746045	undirected	Glyoxylic acid	Jasmonic acid
Glyoxylic acid	beta-Solanine	0.154068654742772	undirected	Glyoxylic acid	beta-Solanine
Glyoxylic acid	Paullinic acid	0.411977367834588	undirected	Glyoxylic acid	Paullinic acid
Glyoxylic acid	(-)-Menthone	0.0948274507296528	undirected	Glyoxylic acid	(-)-Menthone
Glyoxylic acid	Salsolinol	0.0297065815817052	undirected	Glyoxylic acid	Salsolinol
Glyoxylic acid	DOPA	0.0881481918468643	undirected	Glyoxylic acid	DOPA
Glyoxylic acid	p-Synephrine	0.0881481918468643	undirected	Glyoxylic acid	p-Synephrine
Glyoxylic acid	Cyromazine	0.0881481918468643	undirected	Glyoxylic acid	Cyromazine
Glyoxylic acid	Butyrylcarnitine	0.029391014779175	undirected	Glyoxylic acid	Butyrylcarnitine
Glyoxylic acid	Cyclohexylamine	0.381514797584863	undirected	Glyoxylic acid	Cyclohexylamine
Glyoxylic acid	4-Pyridoxic acid	0.0881481918468643	undirected	Glyoxylic acid	4-Pyridoxic acid
Glyoxylic acid	L-Dihydroorotic acid	0.0881481918468643	undirected	Glyoxylic acid	L-Dihydroorotic acid
Glyoxylic acid	Isomaltose	0.0881481918468643	undirected	Glyoxylic acid	Isomaltose
Glyoxylic acid	Estrone	0.0881481918468643	undirected	Glyoxylic acid	Estrone
Glyoxylic acid	Hydroxyacetone	0.0881481918468643	undirected	Glyoxylic acid	Hydroxyacetone
Glyoxylic acid	Cortexolone	0.0881481918468643	undirected	Glyoxylic acid	Cortexolone
Glyoxylic acid	Glycylvaline	0.0881481918468643	undirected	Glyoxylic acid	Glycylvaline
Glyoxylic acid	Deoxyguanosine	0.0881481918468643	undirected	Glyoxylic acid	Deoxyguanosine
Glyoxylic acid	Chenodeoxycholic acid	0.0881481918468643	undirected	Glyoxylic acid	Chenodeoxycholic acid
Glyoxylic acid	Monoethylhexyl phthalic acid	0.19888031236348	undirected	Glyoxylic acid	Monoethylhexyl phthalic acid
Glyoxylic acid	Methylguanidine	0.0881481918468643	undirected	Glyoxylic acid	Methylguanidine
Glyoxylic acid	Temazepam	0.299192624625088	undirected	Glyoxylic acid	Temazepam
Glyoxylic acid	Piplartine	0.0738686129803145	undirected	Glyoxylic acid	Piplartine
Glyoxylic acid	Leucylalanine	0.0881481918468643	undirected	Glyoxylic acid	Leucylalanine
Glyoxylic acid	2,6-Dimethylaniline	0.0881481918468643	undirected	Glyoxylic acid	2,6-Dimethylaniline
Glyoxylic acid	p-Anisidine	0.293710163200035	undirected	Glyoxylic acid	p-Anisidine
Glycerol 3-phosphate	Lactic acid	0.0944307557758682	undirected	Glycerol 3-phosphate	Lactic acid
Glycerol 3-phosphate	Phenylpyruvic acid	0.912053884747022	undirected	Glycerol 3-phosphate	Phenylpyruvic acid
Glycerol 3-phosphate	Succinic acid	0.0636812107051181	undirected	Glycerol 3-phosphate	Succinic acid
Glycerol 3-phosphate	D-Ribose	0.901629339599909	undirected	Glycerol 3-phosphate	D-Ribose
Glycerol 3-phosphate	Uracil	0.0504234048791894	undirected	Glycerol 3-phosphate	Uracil
Glycerol 3-phosphate	2-Furoylglycine	0.912053884747022	undirected	Glycerol 3-phosphate	2-Furoylglycine
Glycerol 3-phosphate	Dodecanedioic acid	0.912053884747022	undirected	Glycerol 3-phosphate	Dodecanedioic acid
Glycerol 3-phosphate	D-alpha-Aminobutyric acid	0.0599155233878511	undirected	Glycerol 3-phosphate	D-alpha-Aminobutyric acid
Glycerol 3-phosphate	Leucinic acid	0.142944336137671	undirected	Glycerol 3-phosphate	Leucinic acid
Glycerol 3-phosphate	Malonic acid	0.202196864956687	undirected	Glycerol 3-phosphate	Malonic acid
Glycerol 3-phosphate	Levulinic acid	0.912053884747022	undirected	Glycerol 3-phosphate	Levulinic acid
Glycerol 3-phosphate	Myristic acid	0.223397084877697	undirected	Glycerol 3-phosphate	Myristic acid
Glycerol 3-phosphate	p-Hydroxymandelic acid	0.912053884747022	undirected	Glycerol 3-phosphate	p-Hydroxymandelic acid
Glycerol 3-phosphate	Undecanedioic acid	0.0294553292420974	undirected	Glycerol 3-phosphate	Undecanedioic acid
Glycerol 3-phosphate	Dehydroepiandrosterone sulfate	0.398270673380297	undirected	Glycerol 3-phosphate	Dehydroepiandrosterone sulfate
Glycerol 3-phosphate	Arachidonic acid	0.131175568698327	undirected	Glycerol 3-phosphate	Arachidonic acid
Glycerol 3-phosphate	4-Methoxyphenylacetic acid	0.0643315753357429	undirected	Glycerol 3-phosphate	4-Methoxyphenylacetic acid
Glycerol 3-phosphate	Itaconic acid	0.132778266273995	undirected	Glycerol 3-phosphate	Itaconic acid
Glycerol 3-phosphate	Heneicosanoic acid	0.20426939020508	undirected	Glycerol 3-phosphate	Heneicosanoic acid
Glycerol 3-phosphate	Phosphonoacetate	0.88921860699746	undirected	Glycerol 3-phosphate	Phosphonoacetate
Glycerol 3-phosphate	Galactinol	0.912053884747022	undirected	Glycerol 3-phosphate	Galactinol
Glycerol 3-phosphate	2-Phenylpropionate	0.0445421700678506	undirected	Glycerol 3-phosphate	2-Phenylpropionate
Glycerol 3-phosphate	D-Tryptophan	0.15277388709694	undirected	Glycerol 3-phosphate	D-Tryptophan
Glycerol 3-phosphate	2,4-Di-tert-butylphenol	0.287896812463291	undirected	Glycerol 3-phosphate	2,4-Di-tert-butylphenol
